"Site.Name","Date","PM2.5","Ozone"
"Bryson City",2018-01-01,35,NA
"Castle Hayne",2018-01-01,13,NA
"Clemmons Middle",2018-01-01,24,NA
"Durham Armory",2018-01-01,31,NA
"Garinger High School",2018-01-01,20,32
"Hattie Avenue",2018-01-01,22,NA
"Leggett",2018-01-01,14,NA
"Millbrook School",2018-01-01,28,34
"Pitt Agri. Center",2018-01-01,15,NA
"West Johnston Co.",2018-01-01,24,NA
"Bryson City",2018-01-02,51,NA
"Castle Hayne",2018-01-02,15,NA
"Clemmons Middle",2018-01-02,40,NA
"Durham Armory",2018-01-02,37,NA
"Frying Pan Mountain",2018-01-02,7,NA
"Garinger High School",2018-01-02,38,31
"Hattie Avenue",2018-01-02,25.5,NA
"Leggett",2018-01-02,20,NA
"Linville Falls",2018-01-02,12,NA
"Millbrook School",2018-01-02,38.5,31
"Pitt Agri. Center",2018-01-02,28,NA
"West Johnston Co.",2018-01-02,35,NA
"Bryson City",2018-01-03,44,NA
"Castle Hayne",2018-01-03,18,NA
"Clemmons Middle",2018-01-03,68,NA
"Durham Armory",2018-01-03,58,NA
"Garinger High School",2018-01-03,59,21
"Hattie Avenue",2018-01-03,55,NA
"Leggett",2018-01-03,23,NA
"Mendenhall School",2018-01-03,60,NA
"Millbrook School",2018-01-03,61,30
"Pitt Agri. Center",2018-01-03,34,NA
"West Johnston Co.",2018-01-03,47,NA
"Bryson City",2018-01-04,28,NA
"Castle Hayne",2018-01-04,19,NA
"Clemmons Middle",2018-01-04,42,NA
"Durham Armory",2018-01-04,40,NA
"Garinger High School",2018-01-04,39,30
"Hattie Avenue",2018-01-04,35,NA
"Leggett",2018-01-04,23,NA
"Mendenhall School",2018-01-04,25,NA
"Millbrook School",2018-01-04,39,32
"Pitt Agri. Center",2018-01-04,25,NA
"West Johnston Co.",2018-01-04,30,NA
"Bryson City",2018-01-05,30,NA
"Castle Hayne",2018-01-05,15,NA
"Clemmons Middle",2018-01-05,37,NA
"Durham Armory",2018-01-05,32.5,NA
"Frying Pan Mountain",2018-01-05,13,NA
"Garinger High School",2018-01-05,32,30
"Hattie Avenue",2018-01-05,27,NA
"Leggett",2018-01-05,9,NA
"Linville Falls",2018-01-05,15,NA
"Mendenhall School",2018-01-05,23,NA
"Millbrook School",2018-01-05,32,33
"Pitt Agri. Center",2018-01-05,21,NA
"West Johnston Co.",2018-01-05,32,NA
"Bryson City",2018-01-06,35,NA
"Castle Hayne",2018-01-06,21,NA
"Clemmons Middle",2018-01-06,35,NA
"Durham Armory",2018-01-06,32,NA
"Garinger High School",2018-01-06,40,31
"Hattie Avenue",2018-01-06,22,NA
"Leggett",2018-01-06,8,NA
"Mendenhall School",2018-01-06,23,NA
"Millbrook School",2018-01-06,33,33
"Pitt Agri. Center",2018-01-06,17,NA
"West Johnston Co.",2018-01-06,29,NA
"Bryson City",2018-01-07,54,NA
"Castle Hayne",2018-01-07,9,NA
"Clemmons Middle",2018-01-07,49,NA
"Durham Armory",2018-01-07,39,NA
"Garinger High School",2018-01-07,47,31
"Hattie Avenue",2018-01-07,28,NA
"Leggett",2018-01-07,15,NA
"Mendenhall School",2018-01-07,38,NA
"Millbrook School",2018-01-07,48,34
"Pitt Agri. Center",2018-01-07,18,NA
"West Johnston Co.",2018-01-07,27,NA
"Bryson City",2018-01-08,71,NA
"Castle Hayne",2018-01-08,11,NA
"Clemmons Middle",2018-01-08,52,NA
"Durham Armory",2018-01-08,34.5,NA
"Frying Pan Mountain",2018-01-08,3,NA
"Garinger High School",2018-01-08,53,16
"Hattie Avenue",2018-01-08,40,NA
"Leggett",2018-01-08,40,NA
"Linville Falls",2018-01-08,22,NA
"Mendenhall School",2018-01-08,44,NA
"Millbrook School",2018-01-08,42.5,27
"Pitt Agri. Center",2018-01-08,31,NA
"West Johnston Co.",2018-01-08,38,NA
"Bryson City",2018-01-09,78,NA
"Castle Hayne",2018-01-09,20,NA
"Clemmons Middle",2018-01-09,60,NA
"Durham Armory",2018-01-09,49,NA
"Garinger High School",2018-01-09,53,28
"Hattie Avenue",2018-01-09,54,NA
"Leggett",2018-01-09,19,NA
"Mendenhall School",2018-01-09,43,NA
"Millbrook School",2018-01-09,35,30
"Pitt Agri. Center",2018-01-09,31,NA
"West Johnston Co.",2018-01-09,43,NA
"Bryson City",2018-01-10,56,NA
"Castle Hayne",2018-01-10,14,NA
"Clemmons Middle",2018-01-10,39,NA
"Durham Armory",2018-01-10,39,NA
"Garinger High School",2018-01-10,38,31
"Hattie Avenue",2018-01-10,32,NA
"Leggett",2018-01-10,35,NA
"Mendenhall School",2018-01-10,29,NA
"Millbrook School",2018-01-10,22,33
"Pitt Agri. Center",2018-01-10,37,NA
"West Johnston Co.",2018-01-10,35,NA
