"Date","Source","Site.ID","POC","Daily.Mean.PM2.5.Concentration","UNITS","DAILY_AQI_VALUE","Site.Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
2019-01-03,"AQS",370110002,1,1.6,"ug/m3 LC",7,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
2019-01-06,"AQS",370110002,1,1,"ug/m3 LC",4,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
2019-01-09,"AQS",370110002,1,1.3,"ug/m3 LC",5,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
2019-01-12,"AQS",370110002,1,6.3,"ug/m3 LC",26,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
2019-01-15,"AQS",370110002,1,2.6,"ug/m3 LC",11,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
2019-01-18,"AQS",370110002,1,1.2,"ug/m3 LC",5,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
2019-01-21,"AQS",370110002,1,1.5,"ug/m3 LC",6,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
2019-01-24,"AQS",370110002,1,1.5,"ug/m3 LC",6,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
2019-01-27,"AQS",370110002,1,3.7,"ug/m3 LC",15,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
2019-01-30,"AQS",370110002,1,1.6,"ug/m3 LC",7,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
2019-02-02,"AQS",370110002,1,3.3,"ug/m3 LC",14,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
2019-02-05,"AQS",370110002,1,4.7,"ug/m3 LC",20,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
2019-02-08,"AQS",370110002,1,1.9,"ug/m3 LC",8,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
2019-02-11,"AQS",370110002,1,2.4,"ug/m3 LC",10,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
2019-02-14,"AQS",370110002,1,1.8,"ug/m3 LC",8,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
2019-02-17,"AQS",370110002,1,2.3,"ug/m3 LC",10,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
2019-02-20,"AQS",370110002,1,0.7,"ug/m3 LC",3,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
2019-02-23,"AQS",370110002,1,0.3,"ug/m3 LC",1,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
2019-02-26,"AQS",370110002,1,2.7,"ug/m3 LC",11,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
